ticket_id,dia_semana,hora_creacion,categoria,prioridad,seniority_agente,tiempo_resolucion_hrs,incumple_sla
321,Domingo,21,Acceso,Baja,Junior,18.64,1
322,Domingo,22,Acceso,Baja,Junior,26.78,1
323,Sábado,21,Redes,Baja,Semi-Senior,13.77,1
324,Martes,13,Software,Baja,Junior,13.66,1
325,Domingo,5,Hardware,Alta,Junior,15.15,0
326,Domingo,5,Software,Alta,Junior,6.74,0
327,Miércoles,12,Hardware,Baja,Semi-Senior,10.92,0
328,Jueves,18,Software,Baja,Semi-Senior,,0
329,Sábado,21,Hardware,Media,Semi-Senior,10.03,0
330,Sábado,7,Software,Media,Junior,11.42,0
331,Viernes,1,Redes,Alta,Semi-Senior,9.95,0
332,Sábado,20,Hardware,Media,Junior,6.17,0
333,Martes,0,Redes,Baja,Junior,17.22,0
334,Sábado,14,Hardware,Media,Semi-Senior,2.11,0
335,Miércoles,0,Hardware,Alta,Junior,19.53,0
336,Jueves,4,Hardware,Media,Semi-Senior,6.26,0
337,Jueves,15,Software,Media,Junior,17.96,0
338,Sábado,18,Hardware,Baja,Junior,13.55,0
339,Domingo,3,Redes,Media,Senior,2.99,0
340,Lunes,2,Software,Media,Semi-Senior,3.28,0
341,Lunes,16,Software,Baja,Semi-Senior,9.65,1
342,Domingo,16,Hardware,Baja,Senior,6.19,0
343,Domingo,11,Acceso,Baja,Semi-Senior,15.21,0
344,Domingo,13,Software,Baja,Semi-Senior,8.76,0
345,Martes,20,Hardware,Baja,Semi-Senior,16.51,1
346,Lunes,5,Redes,Baja,Junior,,0
347,Domingo,2,Acceso,Media,Junior,11.27,0
348,Martes,8,Software,Baja,Semi-Senior,10.3,1
349,Viernes,4,Acceso,Baja,Junior,18.23,1
350,Martes,23,Software,Alta,Junior,4.88,0
351,Lunes,16,Acceso,Media,Junior,9.79,0
352,Sábado,13,Acceso,Media,Junior,8.29,0
353,Viernes,20,Redes,Baja,Junior,15.93,1
354,Lunes,2,Acceso,Media,Junior,23.79,1
355,Martes,0,Redes,Baja,Junior,14.19,1
356,Miércoles,19,Hardware,Alta,Junior,10.95,0
357,Jueves,20,Software,Baja,Semi-Senior,18.76,0
358,Lunes,22,Redes,Media,Junior,10.05,0
359,Domingo,0,Software,Baja,Senior,13.83,0
360,Martes,2,Redes,Media,Senior,4.26,0
361,Domingo,17,Software,Media,Semi-Senior,15.69,1
362,Domingo,9,Redes,Baja,Semi-Senior,12.18,1
363,Domingo,21,Software,Baja,Junior,20.68,1
364,Domingo,2,Hardware,Media,Junior,7.06,0
365,Domingo,7,Software,Alta,Senior,0.5,0
366,Viernes,13,Hardware,Alta,Junior,14.42,0
367,Lunes,23,Hardware,Baja,Senior,13.15,0
368,Lunes,17,Hardware,Baja,Semi-Senior,11.28,1
369,Jueves,14,Acceso,Alta,Junior,4.79,0
370,Martes,21,Software,Media,Semi-Senior,14.64,0
371,Miércoles,22,Acceso,Media,Semi-Senior,,1
372,Viernes,1,Acceso,Alta,Junior,7.36,0
373,Martes,9,Software,Alta,Junior,13.2,0
374,Viernes,1,Hardware,Media,Semi-Senior,4.35,0
375,Lunes,16,Acceso,Baja,Semi-Senior,11.89,0
376,Domingo,7,Acceso,Baja,Junior,11.65,1
377,Jueves,0,Redes,Media,Junior,11.08,0
378,Jueves,8,Software,Baja,Senior,28.61,1
379,Sábado,10,Acceso,Baja,Semi-Senior,12.57,0
380,Miércoles,21,Software,Baja,Semi-Senior,14.79,0
381,Jueves,15,Software,Baja,Senior,13.55,1
382,Domingo,6,Acceso,Media,Junior,5.28,0
383,Lunes,9,Software,Media,Semi-Senior,5.75,0
384,Miércoles,22,Hardware,Baja,Senior,4.84,1
385,Martes,2,Acceso,Baja,Semi-Senior,10.13,0
386,Domingo,17,Acceso,Alta,Junior,6.52,0
387,Domingo,23,Acceso,Baja,Junior,17.26,1
388,Jueves,12,Redes,Media,Semi-Senior,,0
389,Miércoles,6,Redes,Alta,Junior,21.39,1
390,Lunes,3,Redes,Baja,Senior,13.42,0
391,Sábado,12,Redes,Media,Junior,4.46,0
392,Viernes,19,Acceso,Alta,Junior,3.88,0
393,Viernes,0,Hardware,Baja,Junior,14.87,1
394,Lunes,7,Software,Media,Semi-Senior,11.57,0
395,Lunes,13,Software,Baja,Senior,9.2,0
396,Viernes,15,Acceso,Baja,Semi-Senior,18.5,0
397,Sábado,13,Hardware,Alta,Senior,11.69,0
398,Miércoles,11,Software,Alta,Junior,6.88,0
399,Viernes,18,Hardware,Media,Junior,6.04,0
400,Lunes,22,Acceso,Baja,Senior,5.84,1
401,Jueves,14,Redes,Baja,Senior,7.53,0
402,Martes,1,Hardware,Media,Senior,12.36,0
403,Sábado,1,Software,Baja,Semi-Senior,10.61,0
404,Domingo,22,Software,Media,Junior,10.37,1
405,Sábado,21,Software,Media,Junior,22.05,1
406,Jueves,18,Redes,Media,Senior,6.96,0
407,Jueves,21,Hardware,Media,Junior,5.48,0
408,Domingo,21,Hardware,Baja,Junior,20.28,1
409,Lunes,16,Software,Baja,Semi-Senior,8.35,1
410,Viernes,19,Hardware,Baja,Junior,16.15,1
411,Miércoles,9,Software,Media,Senior,3.46,0
412,Sábado,5,Hardware,Media,Junior,12.15,0
413,Domingo,14,Redes,Media,Semi-Senior,5.34,0
414,Sábado,21,Redes,Media,Semi-Senior,13.6,0
415,Jueves,10,Acceso,Alta,Semi-Senior,2.41,0
416,Viernes,4,Acceso,Baja,Semi-Senior,13.09,1
417,Sábado,0,Acceso,Baja,Junior,16.56,1
418,Miércoles,7,Hardware,Baja,Semi-Senior,9.97,0
419,Jueves,20,Redes,Media,Semi-Senior,4.86,0
420,Miércoles,11,Redes,Baja,Semi-Senior,15.48,1
421,Viernes,11,Redes,Alta,Junior,25.38,0
422,Sábado,4,Software,Media,Junior,18.69,1
423,Martes,6,Hardware,Alta,Junior,10.7,0
424,Sábado,3,Hardware,Alta,Semi-Senior,0.5,0
425,Viernes,5,Acceso,Baja,Junior,18.09,0
426,Sábado,12,Software,Baja,Senior,8.67,0
427,Domingo,19,Software,Media,Semi-Senior,18.42,0
428,Sábado,14,Redes,Baja,Semi-Senior,10.63,1
429,Lunes,2,Acceso,Baja,Senior,28.1,1
430,Sábado,22,Hardware,Media,Junior,17.63,0
431,Sábado,7,Software,Baja,Senior,9.43,0
432,Miércoles,19,Redes,Media,Semi-Senior,4.3,1
433,Martes,15,Hardware,Media,Senior,1.78,0
434,Miércoles,12,Redes,Baja,Senior,7.42,0
435,Miércoles,17,Hardware,Baja,Junior,19.92,1
436,Jueves,9,Redes,Baja,Junior,13.86,1
437,Lunes,18,Hardware,Media,Semi-Senior,1.18,0
438,Miércoles,16,Acceso,Baja,Semi-Senior,9.75,0
439,Domingo,23,Hardware,Alta,Junior,,0
440,Viernes,18,Hardware,Baja,Junior,25.29,1
441,Domingo,22,Hardware,Baja,Junior,17.18,1
442,Viernes,4,Redes,Baja,Semi-Senior,7.76,1
443,Sábado,20,Software,Baja,Senior,6.32,1
444,Jueves,22,Hardware,Baja,Semi-Senior,11.73,1
445,Lunes,8,Hardware,Media,Semi-Senior,31.79,0
446,Domingo,11,Acceso,Media,Junior,7.53,0
447,Lunes,20,Hardware,Baja,Junior,11.02,1
448,Domingo,0,Acceso,Baja,Semi-Senior,8.8,1
449,Sábado,0,Hardware,Media,Senior,0.5,0
450,Viernes,14,Redes,Media,Junior,5.19,0
451,Martes,1,Software,Baja,Semi-Senior,12.39,1
452,Jueves,21,Software,Alta,Senior,0.5,0
453,Domingo,15,Software,Baja,Senior,5.02,0
454,Domingo,7,Redes,Media,Junior,8.63,1
455,Sábado,12,Acceso,Baja,Junior,20.26,1
456,Jueves,20,Software,Baja,Junior,17.84,0
457,Viernes,0,Redes,Alta,Semi-Senior,9.8,0
458,Viernes,15,Redes,Baja,Senior,14.5,0
459,Domingo,6,Hardware,Media,Junior,6.73,0
460,Martes,4,Acceso,Baja,Junior,21.38,1
461,Martes,21,Redes,Media,Senior,6.22,0
462,Lunes,22,Acceso,Alta,Semi-Senior,3.22,0
463,Jueves,2,Software,Baja,Senior,9.26,0
464,Jueves,11,Software,Alta,Junior,18.3,0
465,Viernes,15,Software,Media,Semi-Senior,11.15,0
466,Lunes,18,Hardware,Media,Junior,8.17,0
467,Sábado,4,Hardware,Media,Junior,7.95,0
468,Jueves,21,Acceso,Alta,Semi-Senior,0.5,0
469,Lunes,13,Acceso,Baja,Junior,16.89,0
470,Lunes,4,Hardware,Baja,Junior,17.22,1
471,Domingo,14,Redes,Alta,Senior,11.39,0
472,Viernes,16,Acceso,Media,Junior,11.83,0
473,Lunes,13,Acceso,Baja,Semi-Senior,10.55,1
474,Martes,19,Software,Media,Junior,7.37,0
475,Martes,4,Acceso,Media,Senior,6.78,0
476,Miércoles,11,Acceso,Baja,Junior,26.39,1
477,Viernes,15,Redes,Baja,Semi-Senior,7.71,1
478,Domingo,15,Acceso,Media,Junior,12.42,0
479,Sábado,20,Redes,Baja,Semi-Senior,16.88,1
480,Miércoles,6,Software,Media,Semi-Senior,1.4,0
481,Martes,3,Hardware,Alta,Junior,9.69,0
482,Domingo,0,Software,Baja,Junior,13.46,1
483,Miércoles,4,Redes,Baja,Senior,5.39,0
484,Viernes,22,Redes,Baja,Senior,8.9,0
485,Domingo,9,Acceso,Baja,Junior,10.59,0
486,Viernes,21,Acceso,Media,Junior,13.17,0
487,Lunes,4,Hardware,Baja,Junior,11.78,1
488,Jueves,3,Redes,Media,Junior,19.58,0
489,Lunes,1,Redes,Baja,Senior,7.67,1
490,Viernes,19,Software,Baja,Semi-Senior,10.73,0
491,Domingo,9,Hardware,Baja,Semi-Senior,9.1,0
